Potato type,Stock number,Soil sampling application number,Lot reference,Variety,Chemical used on tubers,Country of origin,Quantity,Quantity units,Number of packages,Packaging type,Packing material,Distinguishing marks,Growing season inspection number
,,,,Tyson,,,,,,,,,
,,,,Valencia,,,,,,,,,
,,,,Vales Sovereign,,,,,,,,,
,,,,Venezia,,,,,,,,,
,,,,Verdi,,,,,,,,,
,,,,Vivaldi,,,,,,,,,
,,,,VR 808,,,,,,,,,
,,,,Wilja,,,,,,,,,
,,,,7 Four 7,,,,,,,,,
,,,,Abbot,,,,,,,,,
,,,,Accord,,,,,,,,,
,,,,Acoustic,,,,,,,,,
,,,,Agria,,,,,,,,,
,,,,Alexandra,,,,,,,,,
,,,,Allison,,,,,,,,,
,,,,Alouette,,,,,,,,,
,,,,Amanda,,,,,,,,,
,,,,Ambo,,,,,,,,,
,,,,Amora,,,,,,,,,
,,,,Anna,,,,,,,,,
,,,,Annabelle,,,,,,,,,
,,,,Anya,,,,,,,,,
,,,,Arcade,,,,,,,,,
,,,,Argos,,,,,,,,,
,,,,Asterix,,,,,,,,,
,,,,Athlete,,,,,,,,,
,,,,Aurum,,,,,,,,,
,,,,Baby Lou,,,,,,,,,
,,,,Baby Rose,,,,,,,,,
,,,,Babylon,,,,,,,,,
,,,,Bambino,,,,,,,,,
,,,,Belana,,,,,,,,,
,,,,Bergerac,,,,,,,,,
,,,,Bonnata,,,,,,,,,
,,,,Brooke,,,,,,,,,
,,,,Cabaret,,,,,,,,,
,,,,Camel,,,,,,,,,
,,,,Cara,,,,,,,,,
,,,,Carolus,,,,,,,,,
,,,,Caruso,,,,,,,,,
,,,,Celandine,,,,,,,,,
,,,,Celebration,,,,,,,,,
,,,,Challenger,,,,,,,,,
,,,,Charlotte,,,,,,,,,
,,,,Chopin,,,,,,,,,
,,,,Daisy,,,,,,,,,
,,,,Desiree,,,,,,,,,
,,,,Divaa,,,,,,,,,
,,,,Edison,,,,,,,,,
,,,,Edony,,,,,,,,,
,,,,Electra,,,,,,,,,
,,,,Elfe,,,,,,,,,
,,,,Elgar,,,,,,,,,
,,,,Endeavour,,,,,,,,,
,,,,Eos,,,,,,,,,
,,,,Estima,,,,,,,,,
,,,,Eurostar,,,,,,,,,
,,,,Focus,,,,,,,,,
,,,,Fontane,,,,,,,,,
,,,,Gemson,,,,,,,,,
,,,,Georgina,,,,,,,,,
,,,,Glorietta,,,,,,,,,
,,,,Gwenne,,,,,,,,,
,,,,Heraclea,,,,,,,,,
,,,,Hermes,,,,,,,,,
,,,,Infinity,,,,,,,,,
,,,,Innovator,,,,,,,,,
,,,,Isabelia,,,,,,,,,
,,,,Ivory Russet,,,,,,,,,
,,,,Jazzy,,,,,,,,,
,,,,Jelly,,,,,,,,,
,,,,Juliette,,,,,,,,,
,,,,King Edward,,,,,,,,,
,,,,King Russet,,,,,,,,,
,,,,Kingsman,,,,,,,,,
,,,,Kresnik,,,,,,,,,
,,,,KWS 07-1402,,,,,,,,,
,,,,La Vie,,,,,,,,,
,,,,Lady Alicia,,,,,,,,,
,,,,Lady Anna,,,,,,,,,
,,,,Lady Christl,,,,,,,,,
,,,,Lady Claire,,,,,,,,,
,,,,Lady Jo,,,,,,,,,
,,,,Lady Rosetta,,,,,,,,,
,,,,Lady Terra ,,,,,,,,,
,,,,Lanorma,,,,,,,,,
,,,,Laperla,,,,,,,,,
,,,,Laura,,,,,,,,,
,,,,Leonata,,,,,,,,,
,,,,Leontine,,,,,,,,,
,,,,Lucera,,,,,,,,,
,,,,Lugano,,,,,,,,,
,,,,Madrid,,,,,,,,,
,,,,Manhattan,,,,,,,,,
,,,,Manitou,,,,,,,,,
,,,,Marabel,,,,,,,,,
,,,,Marfona,,,,,,,,,
,,,,Mariola,,,,,,,,,
,,,,Maris Bard,,,,,,,,,
,,,,Maris Peer,,,,,,,,,
,,,,Maris Piper,,,,,,,,,
,,,,Markies,,,,,,,,,
,,,,Melody,,,,,,,,,
,,,,Michelle,,,,,,,,,
,,,,Miranda,,,,,,,,,
,,,,Monte Carlo,,,,,,,,,
,,,,Morene,,,,,,,,,
,,,,Mozart,,,,,,,,,
,,,,Nectar,,,,,,,,,
,,,,Olympus,,,,,,,,,
,,,,Opal,,,,,,,,,
,,,,Orchestra,,,,,,,,,
,,,,Orla,,,,,,,,,
,,,,Panther,,,,,,,,,
,,,,Paris,,,,,,,,,
,,,,Pentland Dell,,,,,,,,,
,,,,Perdiz,,,,,,,,,
,,,,Performer,,,,,,,,,
,,,,Picasso,,,,,,,,,
,,,,Piccolo Star,,,,,,,,,
,,,,Pirol,,,,,,,,,
,,,,Premiere,,,,,,,,,
,,,,Purple Majesty,,,,,,,,,
,,,,Ramos,,,,,,,,,
,,,,Red King Edward,,,,,,,,,
,,,,Rock,,,,,,,,,
,,,,Rossini,,,,,,,,,
,,,,Royal,,,,,,,,,
,,,,Rudolph,,,,,,,,,
,,,,Safari,,,,,,,,,
,,,,Sagitta,,,,,,,,,
,,,,Saphire,,,,,,,,,
,,,,Sassy,,,,,,,,,
,,,,Sensation,,,,,,,,,
,,,,SH C 1010,,,,,,,,,
,,,,Shannon,,,,,,,,,
,,,,Shelford,,,,,,,,,
,,,,Shepody,,,,,,,,,
,,,,Siena,,,,,,,,,
,,,,Smiths Comet,,,,,,,,,
,,,,Soraya,,,,,,,,,
,,,,Sunita,,,,,,,,,
,,,,Talentine,,,,,,,,,
,,,,Taurus,,,,,,,,,
,,,,Triple7,,,,,,,,,
,,,,Twinner,,,,,,,,,
,,,,Tyson,,,,,,,,,
,,,,Valencia,,,,,,,,,
,,,,Vales Sovereign,,,,,,,,,
,,,,Venezia,,,,,,,,,
,,,,Verdi,,,,,,,,,
,,,,Vivaldi,,,,,,,,,
,,,,VR 808,,,,,,,,,
,,,,Wilja,,,,,,,,,
,,,,7 Four 7,,,,,,,,,
,,,,Abbot,,,,,,,,,
,,,,Accord,,,,,,,,,
,,,,Acoustic,,,,,,,,,
,,,,Agria,,,,,,,,,
,,,,Alexandra,,,,,,,,,
,,,,Allison,,,,,,,,,
,,,,Alouette,,,,,,,,,
,,,,Amanda,,,,,,,,,
,,,,Ambo,,,,,,,,,
,,,,Amora,,,,,,,,,
,,,,Anna,,,,,,,,,
,,,,Annabelle,,,,,,,,,
,,,,Anya,,,,,,,,,
,,,,Arcade,,,,,,,,,
,,,,Argos,,,,,,,,,
,,,,Asterix,,,,,,,,,
,,,,Athlete,,,,,,,,,
,,,,Aurum,,,,,,,,,
,,,,Baby Lou,,,,,,,,,
,,,,Baby Rose,,,,,,,,,
,,,,Babylon,,,,,,,,,
,,,,Bambino,,,,,,,,,
,,,,Belana,,,,,,,,,
,,,,Bergerac,,,,,,,,,
,,,,Bonnata,,,,,,,,,
,,,,Brooke,,,,,,,,,
,,,,Cabaret,,,,,,,,,
,,,,Camel,,,,,,,,,
,,,,Cara,,,,,,,,,
,,,,Carolus,,,,,,,,,
,,,,Caruso,,,,,,,,,
,,,,Celandine,,,,,,,,,
,,,,Celebration,,,,,,,,,
,,,,Challenger,,,,,,,,,
,,,,Charlotte,,,,,,,,,
,,,,Chopin,,,,,,,,,
,,,,Daisy,,,,,,,,,
,,,,Desiree,,,,,,,,,
,,,,Divaa,,,,,,,,,
,,,,Edison,,,,,,,,,
,,,,Edony,,,,,,,,,
,,,,Electra,,,,,,,,,
,,,,Elfe,,,,,,,,,
,,,,Elgar,,,,,,,,,
,,,,Endeavour,,,,,,,,,
,,,,Eos,,,,,,,,,
,,,,Estima,,,,,,,,,
,,,,Eurostar,,,,,,,,,
,,,,Focus,,,,,,,,,
,,,,Fontane,,,,,,,,,
,,,,Gemson,,,,,,,,,
,,,,Georgina,,,,,,,,,
,,,,Glorietta,,,,,,,,,
,,,,Gwenne,,,,,,,,,
,,,,Heraclea,,,,,,,,,
,,,,Hermes,,,,,,,,,
,,,,Infinity,,,,,,,,,
,,,,Innovator,,,,,,,,,
,,,,Isabelia,,,,,,,,,
,,,,Ivory Russet,,,,,,,,,
,,,,Jazzy,,,,,,,,,
