EPPO code,Genus,Species,Variety,Description,Quantity,Quantity units,Lot reference,GSI reference,Chemical treatment,Country code for country where grown,Country code for destination country 1,Country code for destination country 2,Country code for destination country 3,Country code for destination country 4,Country code for destination country 5,Country code for destination country 6,Country code for destination country 7,Country code for destination country 8,Country code for destination country 9,Country code for destination country 10
OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,MANDATORY,MANDATORY - CHOOSE OPTION FROM LIST,MANDATORY,OPTIONAL,OPTIONAL,MANDATORY,MANDATORY,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL
,,,,,,Grams,,,,,,,,,,,,,,
,,,,,,Kilograms,,,,,,,,,,,,,,
,,,,,,Tonnes,,,,,,,,,,,,,,
